사건명,승패자,결과,요약된 내용
사기·주택법위반·전자서명법위반·사문서위조·위조사문서행사·교통사고처리특례법위반(치상)·도로교통법위반(음주운전),상고인,패소,"['주택청약종합저축 계좌가 개설된 은행에 연계된 공인인증서를 양도하는 경우, 그 양수인은 양도인 명의로 청약신청을 하여 주택을 공급받을 수 있게 되므로 ‘입주자저축 증서’의 양도·양수 행위에 위 공인인증서 양도·양수 행위도 포함된다고 해석함이 입법 취지에 부합한다', '그럼에도 원심은 판시와 같은 이유로 이 부분 공소사실을 무죄로 판단하였는바, 원심의 판단에는 주택법 제65조 제1항 제2호의 ‘입주자저축 증서’ 양도·양수 행위에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다', '원심은 판시와 같은 이유로 이 부분 공소사실을 무죄로 판단하였는바, 원심의 판단에 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 주택법 제65조 제1항 제2호의 ‘입주자저축 증서’에 관한 법리를 오해한 잘못이 없다']"
도로교통법위반(음주측정거부)·교통사고처리특례법위반·도로교통법위반(무면허운전),상고인,승소,"['원심은 이에 대하여 도로교통법 제148조의2 제1항, 제44조 제2항을 적용하여 유죄를 선고하였다', '2. 이 사건 공소사실 중 도로교통법 위반(음주측정거부) 부분은 파기되어야 한다', '원심은 이 부분과 나머지 유죄 부분이 형법 제37조 전단의 경합범 관계에 있다는 이유로 피고인에 대하여 하나의 형을 선고하였으므로 원심판결은 전부 파기되어야 한다']"
교통사고처리특례법위반(치상),상고인,패소,"['따라서 모든 차의 운전자는 보행자보다 먼저 횡단보행자용 신호기가 설치되지 않은 횡단보도에 진입한 경우에도, 보행자의 횡단을 방해하지 않거나 통행에 위험을 초래하지 않을 상황이 아니고서는, 차를 일시정지하는 등으로 보행자의 통행이 방해되지 않도록 할 의무가 있다(대법원 2020. 12. 24. 선고 2020도8675 판결 참조)', '3. 원심판결 이유 및 원심이 적법하게 채택하여 조사한 증거 등에 의하면, 피고인이 피해자보다 먼저 화물차를 운전하여 횡단보행자용 신호기가 없는 횡단보도에 진입하면서 횡단보도 앞에서 일시정지하지 않은 채 그대로 진행한 사실, 곧바로 후드티 모자를 쓴 피해자(14세)가 횡단보도를 뛰어 건너다가 피고인의 화물차 오른쪽 적재함 부분과 충돌한 사실을 인정할 수 있다', '이러한 사실관계를 앞서 본 법리에 비추어 살펴보면, 피고인이 운전한 화물차가 보행자인 피해자보다 먼저 횡단보행자용 신호기가 없는 횡단보도에 진입하였더라도 보행자의 횡단을 방해하지 않거나 통행에 위험을 초래하지 않을 상황이 아니고서는, 차를 일시정지하는 등 보행자의 통행이 방해되지 않도록 할 의무가 있다']"
사기·주택법위반·전자서명법위반·사문서위조·위조사문서행사·교통사고처리특례법위반(치상)·도로교통법위반(음주운전),항소인,패소,"['검사    (1) 사실오인 및 법리오해(무죄 부분)      피고인들이 청약통장의 앞면 사진, 공인인증서 등을 양도한 행위는 실질적으로 주택법 제65조 제1항 제2호의 입주자저축 증서 또는 위 증서에 수반된 지위에 대한 양도행위와 동일한 것으로서 같은 법 101조 제3호, 제65조 제1항에 의하여 처벌되어야 한다', '그럼에도 피고인들의 행위가 위 법 제65조 제1항의 각호에서 열거한 증서나 지위에 해당하지 않는다는 이유에서 피고인들에 대하여 무죄를 선고한 원심판결에는 사실오인 및 법리오해의 잘못이 있다', '검사의 사실오인 및 법리오해 주장에 관한 판단    (1) 원심의 판단      원심은, 죄형법정주의 원칙에 따라 주택법 제65조 제1항 각호에서 규정하고 있는 지위 또는 증서는 제한적·열거적 규정으로 보아야 한다고 본 후, 다음과 같은 이유에서 피고인들에 대한 이 부분 공소사실을 각 무죄로 판단하였다']"
도로교통법위반(음주측정거부)·교통사고처리특례법위반·도로교통법위반(무면허운전),항소인,승소,"['【이유】1. 항소이유의 요지(양형부당)   피고인에 대한 각 원심의 형(제1 원심: 징역 1년 6개월, 제2 원심: 징역 8개월)은 너무 무거워서 부당하다', '2. 직권판단(병합심리)   피고인은 원심판결들에 대하여 항소를 제기하였고, 이 법원은 위 항소사건들을 모두 병합하여 심리하기로 결정하였다', '3. 결론  원심판결에는 앞서 본 것과 같은 직권 파기사유가 있으므로, 피고인의 양형부당 주장에 관한 판단은 생략한 채 원심판결을 모두 파기하고 변론을 거쳐 다시 다음과 같이 판결한다']"
교통사고처리특례법위반ㆍ도로교통법위반(무면허운전)ㆍ자동차손해배상보장법위반[‘농업기계’가 무면허운전 처벌규정의 적용대상인 ‘자동차’에 해당하는지가 문제된 사건],상고인,승소,"['원심은, 다음과 같은 이유로 이 사건 부분 공소사실에 대해서 무죄로 판단한 제1심판결을 파기하고 유죄로 판단하였다', '위에서 본 규정을 체계적ㆍ종합적으로 살펴보면, 구 도로교통법 제152조 제1호, 제43조의 무면허운전 처벌규정의 적용대상인 구 도로교통법 제2조 제18호에서 정한 자동차는 구 자동차관리법 제2조 제1호에서 정한 자동차로서 같은 법 제3조에서 정한 각종 자동차에 해당하는 것에 한정된다고 보아야 한다(대법원 1993. 2. 23. 선고 92도3126 판결 참조)', '그런데도 이 부분 공소사실을 유죄로 판단한 원심판결에는 구 도로교통법 제2조 제18호에서 정한 자동차의 해석에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다']"
교통사고처리특례법위반(치상),상고인,패소,"['횡단보행자용 신호기가 설치되지 않은 횡단보도를 횡단하는 보행자가 있을 경우에, 모든 차 또는 노면전차(이하 구별하지 않고 ‘차’라고만 한다)의 운전자는, 그대로 진행하더라도 보행자의 횡단을 방해하지 않거나 통행에 위험을 초래하지 않을 경우를 제외하고는, 횡단보도에 차가 먼저 진입하였는지 여부와 관계없이 차를 일시정지하는 등의 조치를 취함으로써 보행자의 통행이 방해되지 않도록 할 의무가 있다', '위 각 규정의 내용과 취지를 종합하면, 자동차의 운전자는 횡단보행자용 신호기의 지시에 따라 횡단보도를 횡단하는 보행자가 있을 때에는 횡단보도에의 진입 선후를 불문하고 일시정지하는 등의 조치를 취함으로써 보행자의 통행이 방해되지 않도록 하여야 하고, 다만 자동차가 횡단보도에 먼저 진입한 경우로서 그대로 진행하더라도 보행자의 횡단을 방해하지 않거나 통행에 위험을 초래하지 않을 상황이라면 그대로 진행할 수 있는 것으로 해석된다(대법원 2017. 3. 15. 선고 2016도17442 판결 참조)', '따라서 모든 차의 운전자는 보행자보다 먼저 횡단보행자용 신호기가 설치되지 않은 횡단보도에 진입한 경우에도, 보행자의 횡단을 방해하지 않거나 통행에 위험을 초래하지 않을 상황이 아니고서는, 차를 일시정지하는 등으로 보행자의 통행이 방해되지 않도록 할 의무가 있다']"
자동차보험진료수가지급[다른 의료기관으로부터 교통사고로 인한 입원환자들에 대한 진료를 의뢰받아 진료를 실시한 의료기관이 보험회사등을 상대로 직접 자동차손해배상보장법상 자동차보험진료수가의 지급을 청구한 사건],상고인,패소,"['원칙적인 행사방법  (1) 자동차손배법에 의하면, 교통사고환자를 진료한 의료기관은 보험회사 등으로부터 해당 진료에 따른 자동차보험진료수가의 지급의사와 지급한도를 통지받은 경우에는 제15조에 따라 국토교통부장관이 정하여 고시한 기준에 따라 산정된 자동차보험진료수가를 청구할 수 있다(제12조 제1항, 제2항)', '「자동차손해배상 보장법 시행규칙」(이하 ‘자동차손배법 시행규칙’이라 한다)에 의하면, 보험회사 등이 건강보험심사평가원에 자동차보험진료수가의 심사·조정 업무 등을 위탁한 경우에 의료기관은 건강보험심사평가원에 자동차보험진료수가를 청구하여야 한다(제6조의2 제1항)', '(3) 이상의 규정들을 종합하면, 교통사고환자를 진료한 의료기관은 보험회사 등이 자동차손배법 제12조 제1항에 따라 자동차보험진료수가의 지급의사와 지급한도를 통지한 경우에 보험회사 등에 대하여 자동차손배법 제15조에 따라 국토교통부장관이 정하여 고시한 기준에 따라 산정된 자동차보험진료수가를 청구할 권리를 가지며, 보험회사 등이 자동차보험료진료수가 심사·조정 업무 등을 건강보험심사평가원에 위탁한 경우에는 건강보험심사평가원에 청구서를 제출하는 방법으로 자동차보험진료수가 청구권을 행사하여야 한다']"
사기·전자금융거래법위반·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·도로교통법위반(음주운전),항소인,승소,"['원심은, ‘압수된 한국은행 오만 원권 94장(증 제1호)은 장물에 해당하지 않으므로 피해자 환부의 대상이 되지 아니하고, 범죄행위로 인하여 취득한 물건에 해당된다’는 이유로 위 현금에 관한 몰수를 선고하였다', '원심으로서는 위 돈을 피해자에게 환부하였어야 함에도 이에 관하여 몰수를 선고한 잘못이 있다', '3. 결론  원심판결에는 위에서 본 직권파기 사유가 있으므로 피고인의 양형부당 주장에 관한 판단을 생략한 채 형사소송법 제364조 제2항에 따라 원심판결을 파기하고, 변론을 거쳐 다시 다음과 같이 판결한다']"
사기·전자금융거래법위반·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·도로교통법위반(음주운전),항소인,승소,"['피고인은 2020. 3. 7.경 성명불상의 보이스피싱 조직원의 지시에 따라 ‘교부받은 체크카드에 연결된 계좌에서 돈을 인출한 후 지정하는 계좌로 송금해주면 인출금의 5%에 해당하는 금액을 수당으로 주겠다’는 취지의 제안을 받고 인출책 역할을 하기로 공모하였다', '대신 돈을 송금해주면 오후 3시 전까지 보내주겠다’라는 카카오톡 메시지를 보내고, 이에 속은 피해자로부터 2020. 3. 10.경 위 성명불상자가 미리 확보한 계좌인 공소외 4 명의의 하나은행 계좌(계좌번호 1 생략)로 2회에 걸쳐 5,680,000원을 송금받았다', '그럼에도 불구하고 위와 같은 모의에 따라 보이스피싱 범죄에 이용할 목적으로 피고인은 2020. 3. 10. 09:00경 성남시 분당구 성남대로925번길 16에 있는 성남종합터미널 물품보관소에서, 공소외 4 명의 하나은행 계좌(계좌번호 1 생략)와 연결된 체크카드(카드번호 1 생략) 1장을 보이스피싱 조직원인 성명불상자로부터 교부받고, 같은 날 11:07경 위 성남종합터미널에 있는 스타벅스 야탑터미널점 앞에서, 공소외 5 명의 농협은행 계좌(계좌번호 2 생략)와 연결된 체크카드(카드번호 2 생략) 1장을 위 성명불상자로부터 교부받았다']"
